course.co_id,course.name,course.name_eng,course.points,course.semester,course.hug,course.lesson,course.hours,course.exam_type,course.var
1043,מסורת ושינוי: פרקים בתרבות המערב,INTRODUCTION TO WESTERN CULTUR,9,קורס שנתי,870,שות,0,0,1
1044,עבודה עצמית בתרבות המערב,INTRODUCTION TO WESTERN CULTUR-PAPER,9,קורס שנתי,870,הדר,0,0,1
1061,כלכלה,סטט' ושיטות מחקר,PRE ACADEMIC STUDIES,9,קורס שנתי,870,שעור,0,0,1
1065,כלכלה-מסלול חרדים,,9,קורס שנתי,875,שות,0,0,1
1066,סטטיסטיקה-מסלול חרדים,,9,קורס שנתי,875,שות,0,0,1
1070,גאוגרפיה,GEOGRAPHY,9,קורס שנתי,870,שות,0,0,1
1075,מדעי ההתנהגות,PRE ACADEMIC STUDIES,9,קורס שנתי,840,שות,0,0,1
1083,מבוא לממשל ופוליטיקה,POLITICS AND GOVERNMENT,9,קורס שנתי,870,שות,0,0,1
1084,עבודה עצמית בממשל ופוליטיקה,FINAL PAPER IN POLITICS AND GOVERNMENT,9,קורס שנתי,870,הדר,0,0,1
1100,מבוא למדעי המחשב,COMPUTER SCIENCE,9,קורס שנתי,820,שות,0,0,1
1110,מיומ' הכתיבה האקדמית רו"ח-רמה א,ACADEMIC WRITING,9,קורס שנתי,870,שות,0,0,1
1115,מיומנויות הכתיבה האקדמית הת',ACADEMIC WRITING,1,א',840,שות,0,0,1
1120,מיומ' הכתיבה האקדמית רו"ח-רמה ב,ACADEMIC WRITING,9,קורס שנתי,870,שות,0,0,1
1125,מיומ' כתיבה אקדמית-חרדים,,9,קורס שנתי,875,שות,0,0,1
1130,מיומ' הכתיבה האקדמית רו"ח-רמה ג,ACADEMIC WRITING,9,קורס שנתי,870,שות,0,0,1
1140,מיומ' הכתיבה האקדמית רו"ח-רמה ד,ACADEMIC WRITING,9,קורס שנתי,870,שות,NULL,14,1
1150,פיסיקה - רמה א,PHYSICS,9,קורס שנתי,820,שות,NULL,16,1
1160,פיזיקה רמה ב,PHYSICS,9,קורס שנתי,820,שות,0,0,1
1161,פיזיקה-מסלול חרדים,,9,קורס שנתי,825,שות,0,0,1
1165,כימיה - רמה א,CHEMISTRY,9,קורס שנתי,820,שות,NULL,16,1
1166,כימיה - רמה ב,CHEMISTRY,9,קורס שנתי,820,שות,0,0,1
1168,כימיה מסלול משולב במדעים,CHEMISTRY,9,קורס שנתי,860,שות,0,0,1
1210,אנגלית רו"ח רמה א,ENGLISH,1,א',870,שות,0,0,1
1211,אנגלית רמת פטור רו"ח סמ' א',ENGLISH,1,א',870,שות,0,0,1
1220,אנגלית רו"ח רמה ב,ENGLISH,9,קורס שנתי,870,שות,0,0,1
1225,אנגלית-מסלול חרדים,,9,קורס שנתי,875,שות,0,0,1
1230,אנגלית רו"ח רמה ג,ENGLISH,9,קורס שנתי,870,שות,0,0,1
1240,אנגלית רו"ח רמה ד/ה,ENGLISH,9,קורס שנתי,870,שות,0,0,1
1270,מתמטיקה טבע רמה ג,MATHEMATICS,9,קורס שנתי,820,שות,NULL,NULL,1
1310,מתמטיקה רו"ח רמה א,MATHEMATICS,9,קורס שנתי,870,שות,NULL,8,1
1320,מתמטיקה רו"ח רמה ב,MATHEMATICS,9,קורס שנתי,870,שות,0,0,1
1325,מתמטיקה-מסלול חרדים,,9,קורס שנתי,875,שות,0,0,1
1330,מתמטיקה רו"ח רמה ג,MATHEMATICS,9,קורס שנתי,870,שות,0,0,1
1334,עבודה עצמית בגאוגרפיה,PRE ACADEMIC STUDIES,9,קורס שנתי,870,הדר,0,0,3
1335,אנגלית טבע רמה א,ENGLISH,1,א',820,שות,0,0,1
1336,אנגלית רמת פטור טבע,ENGLISH,1,א',820,שות,0,0,1
1337,עבודה עצמית בשיטות מחקר,PRE ACADEMIC STUDIES,9,קורס שנתי,870,הדר,NULL,0,3
1340,אנגלית טבע רמה ב,ENGLISH,9,קורס שנתי,820,שות,0,0,1
1341,אנגלית רמות ב' ג' ד' טבע רחובות,ENGLISH,9,קורס שנתי,820,שות,0,0,1
1345,אנגלית רמה ג טבע,ENGLISH,9,קורס שנתי,820,שות,0,0,1
1355,אנגלית טבע רמה ד/ה,ENGLISH,9,קורס שנתי,820,שות,0,0,1
1410,מיומ' הכתיבה האקדמית ט רמה א,ACADEMIC WRITING,9,קורס שנתי,820,שות,0,0,1
1414,מיומ' הכתיבה האקדמית ט רחובות,ACADEMIC WRITING,9,קורס שנתי,820,שות,0,0,1
1415,מיומ' הכתיבה האקדמית-משולב במדעים,ACADEMIC WRITING,9,קורס שנתי,860,שות,0,0,1
1420,מיומ' הכתיבה האקדמית ט רמה ב,ACADEMIC WRITING,9,קורס שנתי,820,שות,0,0,1
1430,מיומ' הכתיבה האקדמית ט רמה ג,ACADEMIC WRITING,9,קורס שנתי,820,שות,0,0,1
1440,מיומ' הכתיבה האקדמית ט רמה ד,ACADEMIC WRITING,9,קורס שנתי,820,שות,0,0,1
1450,מתמטיקה טבע רמה א,MATHEMATICS,9,קורס שנתי,820,שות,0,0,1
1470,מתמטיקה טבע רמה ב,MATHEMATICS,9,קורס שנתי,820,שות,NULL,8,1
1480,ביולוגיה - רמה א,BIOLOGY,9,קורס שנתי,820,שות,0,0,1
1490,ביולוגיה - רמה ב,BIOLOGY,9,קורס שנתי,820,שות,0,0,1
1495,ביולוגיה מסלול משולב במדעים,BIOLOGY,9,קורס שנתי,860,שות,0,0,1
3001,קורס מדריכים מתחילים,INSTRUCTORS COURSE BEGINNERS,9,קורס שנתי,431,הדר,4,56,3
3021,טיפול בטראומה,Treatment of Trauma,1,א',431,שעור,2,28,NULL
3022,רווחת הילד: פרספקטיבה תאורטית ומחקרית,UNDERSTANDING CHILDREN'S WELL-BEING,2,ב',431,שעור,2,28,NULL
3023,התמכרויות: אסטרטגיות מניעה והתערבות,Addictions: Prevention and Intervention Strategies,2,ב',431,שעור,2,28,NULL
3024,אוכלוסיות וסוגיות בחברה הישראלית,Populations and Issues in Israeli Society,1,א',431,שעור,2,28,NULL
3025,שירותים בגיל הרך בסן פרנסיסקו,Early Childhood servies in San Fransisco,2,ב',434,שעור,2,28,NULL
3026,מחקר מודע הקשר- שיטות מחקר מתקדמות (ב),CONTEXT INFORMED צ ADVANCED RESEARCH METHODS - Part II,1,א',431,שעור,2,28,NULL
3027,ייזום, תכנון והפעלה של פרויקטים,Initiation, planning and implementation of projects,9,קורס שנתי,433,סמ,4,56,NULL
3028,סדנה בהכשרה מקצועית לתלמידי תוכנית ההשלמות - שנה א',WORKSHOP IN FIELDWORK TRAINING (SWM for studnts with BA) - FIRST YEAR,1,א',432,הדר,NULL,0,NULL
3029,סדנה בהכשרה מקצועית לתלמידי תוכנית ההשלמות - שנה ב',WORKSHOP IN FIELDWORK TRAINING (SWM for studnts with BA) - SECOND YEAR,1,א',432,הדר,NULL,NULL,NULL
3030,סוגיות בניהול משאבי אנוש בארגוני שירות ובמלכ"רים,Human resource management issues within service providers organizations and N.G.OS,2,ב',433,שעור,1,14,NULL
3031,מגדר ויישוב סכסוכים: לימוד והידברות בין סטודנטים/ות יהודים/יות וערבים/ות,Gender and Conflict Transformation: Dialogue between Arab and Jewish Students,2,ב',431,שעור,2,28,NULL
3032,סוגיות בבריאות הציבור בחברה הישראלית,Issues in Public Health in Israeli Society,2,ב',431,שעור,3,42,NULL
3098,סמינר דוקטורנטים - א',RESEARCH STUDENTS SEMINAR - I,9,קורס שנתי,431,סמ,1,14,4
3099,סמינר דוקטורנטים - ב',RESEARCH STUDENTS SEMINAR - II,9,קורס שנתי,431,סמ,1,14,4
3102,מבוא לעבודה סוציאלית-א',INTRODUCTION TO SOCIAL WORK-I,1,א',431,שות,4,56,6
3103,מבוא לעבודה סוציאלית - ב',INTRODUCTION TO SOCIAL WORK-II,2,ב',431,שות,4,56,6
3105,סוציולוגיה: מושגי יסוד,BASIC CONCEPTS IN SOCIOLOGY,1,א',431,שעור,2,28,1
3106,פסיכולוגיה: מושגי יסוד,BASIC CONCEPTS IN PSYCHOLOGY,1,א',431,שעור,2,28,1
3107,בעיות התנהגות בגיל הרך,BEHAVIORAL PROBLEMS IN EARLY CHILDHOOD,9,קורס שנתי,434,סמ,4,56,3
3109,כלכלת הרווחה - מושגי יסוד,BASIC CONCEPTS IN WELFARE ECONOMICS,2,ב',431,שות,3,42,1
3111,סטטיסטיקה: מושגי יסוד,BASIC CONCEPTS IN STATISTICS,1,א',431,שות,4,56,1
3112,קורס קריאה אישי,READING COURSE,3,א' או ב',431,הדר,2,28,3
3113,מדיניות כלפי המגזר השלישי בישראל,SOCIAL POLICY TOWARD THIRD-SECTOR ORGANIZATIONS,2,ב',433,שעור,2,28,6
3115,מבוא למדינת הרווחה א',INTROD.TO THE WELFARE STATE: BASIC CONCEPTS,1,א',431,שעור,2,28,1
3116,מבוא למדינת הרווחה ב',THE DEVELOPMENT OF THE WELFARE STATE IN ISRAEL,2,ב',431,שעור,2,28,1
3117,ניהול פילנטרופיה,MANAGEMENT OF PHILANTHROPIC PROJECTS,2,ב',433,שעור,2,28,3
3118,מיזמים עסקיים חברתיים - הקמה, ניהול,שיווק,MARKETING SOCIAL ENTERPRISES-FOUNDING,MANAGEMENT,1,א',433,שעור,2,28,3
3120,כתיבה עיונית ומדעית,ACADEMIC AND SCIENTIFIC WRITING IN S.W.,1,א',431,שעור,1,14,3
3121,תורת האישיות: מושגי יסוד,BASIC CONCEPTS OF PERSONALITY,2,ב',431,שעור,2,28,1
3125,לפני המוות,BEFORE DEATH,1,א',431,שעור,2,28,3
3126,משאבי מידע בספריה לעבודה סוציאלית ולחנוך: הכרה והדרכה,INFORMATION RESOURCES IN THE LIBRARY,1,א',431,הדר,0,0,4
3130,התפתחות האדם במשפחה א': מינקות עד נעורים,HUMAN DEVELOPMENT I: INFANCY TO ADOLESCENCE,1,א',431,שעור,2,28,1
3131,יסודות המשפט וזכויות האדם,INTRODUCTION TO ISRAELI LAW AND TO HUMAN RIGHTS,2,ב',431,שעור,2,28,1
3133,מיומנויות בעבודה סוציאלית,SKILLS IN SOCIAL WORK,1,א',431,שעור,2,28,1
3134,מעורבות חברתית,SOCIAL INVOLVEMENT-AN INTROD. TO SW FIELDWORK,9,קורס שנתי,431,הדר,4,56,4
3138,התפתחות האדם במשפחה ב': מבגרות ועד זקנה,HUMAN DEVELOPMENT II : ADULTHOOD TO OLD AGE,2,ב',431,שעור,2,28,1
3139,המשפחה כיחידה חברתית,THE FAMILY AS A SOCIAL UNIT,3,א' או ב',431,שעור,2,28,1
3140,גישה קהילתית בעבודה סוציאלית,APPROACH TO COMMUNITY SOCIAL WORK,2,ב',431,שעור,2,28,1
3143,שיטות פיתוח קהילה למנהלי ארגונים,COMMUNITY DEVELOPMENT METHODS FOR ORGANIZATIONS,1,א',433,שעור,2,28,3
3144,ניהול פיננסי של מלכ"רים,FINANCIAL MANAGEMENT OF NONPROFIT ORGANIZATIONS,1,א',433,שעור,2,28,6
3150,פסיכולוגיה חברתית,INTRODUCTION TO SOCIAL PSYCHOLOGY,2,ב',431,שעור,2,28,1
3152,תוכניות ושירותים לגיל הרך,PROGRAMS AND EARLY CHILDHOOD SERVICES,2,ב',434,שעור,2,28,3
3153,הכרות עם הקהילה,GETTING TO KNOW THE COMMUNITY,2,ב',431,שעור,2,28,3
3154,מיומנויות מכוונות החלמה עם אנשים עם מגבלות נפשיות ותכניות התומכות בהן,RECOVERY ORIENTED SKILL DEVELOPMENT& PROGRAMS,1,א',431,שעור,2,28,NULL
3164,סוגיות בקבלת עזרה מקצועית,ISSUES IN RECEIVING PROFESSIONAL ASSISTANCE,9,קורס שנתי,431,סמ,4,56,3
3169,טיפול על פי הגישה היהודית-דיאלוגית,TREATMENT ACCORDING TO JEWISH DIALOGIC APPROACHE,9,קורס שנתי,431,סמ,4,56,3
3172,טיפול פרטני זוגי,Individua coupels therapy ,9,קורס שנתי,431,סמ,4,56,3
3173,מרחב החשיבה המקצועי בעבודה הסוציאלית,THE HORIZONS OF PROFITIONA THINKING IN SOCIAL WO,9,קורס שנתי,431,סמ,4,56,3
3175,טיפול דיאלקטי התנהגותי (DBT),DIALECTICAL BEHAVIOR THERAPY (DBT),1,א',431,שעור,2,28,3
3177,טיפול הוליסטי: מפגש בין גוף/נפש/רוח,HOLISTIC THERAPY: THE INTERFACE OF MIND/BODY/SPI,2,ב',431,שעור,2,28,3
3180,הגישה הנרטיבית בטיפול הפסיכו-סוציאלי,     THE NARRATIVE APPROACH IN PSYCHO-SOCIAL TRE,2,ב',431,סמ,2,28,3
3181,טיפול קליני פסיכודינמי,PSYCHODYNAMIC CLINICAL TREATMENT,2,ב',431,סמ,2,28,3
3182,טיפול לפי הגישה הפסיכואנליטית - התייחסותית,PSYCHOTHERAPY- THE RELATIONAL PARADIGM,2,ב',431,סמ,2,28,3
3184,טיפול בבריאות הנפש,MENTAL HEALTH CARE,2,ב',431,סמ,2,28,3
3185,פרקטיקום א': התערבות פסיכו-סוציאלית בגישה של המודל הביו-אקולוגי,Practicum I: psychosocial intervention approach to bio-ecological model,2,ב',431,סמ,2,28,3
3186,מצבי דחק, התמודדות, ותמיכה חברתית: השלכות על הפרקטיקה בעבודה סוציאלית,STRESS, COPING, AND ROLE OF SOCIAL SUPPORT:,1,א',431,שעור,2,28,3
3190,תיאוריות במיניות ופרקטיקה בעבודה הסוציאלית עם הקהילת הלהט"ב,THEORIES IN SEXUALITY AND THE PRACTICE OF S.W,2,ב',431,שעור,2,28,3
3191,פילנתרופיה, שותפויות בין מגזריות והחברה האזרחית,PHILANTHROPY,INTER-SECTORAL PARTNERSHIPS AND THE,2,ב',433,שעור,1,14,3
3194,האחרות המוחלטת: להביט במוות,THE ABSOLUTE OTHERNESS: FACING DEATH,2,ב',431,שעור,2,28,3
3195,טראומה והתמכרויות,trauma and addiction,1,א',431,שעור,2,28,NULL
3196,סוגיות ייחודיות בפגיעות מיניות בילדים: גישה רב מערכתית, Unique aspects of child sexual abuse: A multidimensional approach,2,ב',431,שעור,2,28,3
3197,מהפכת הגיל: הבטים חברתיים של זקנה והזדקנות,THE AGE REVOLUTION: SOCIAL ASPECTS OF AGE,2,ב',431,שעור,2,28,1
3200,שיקולים כלכליים בפעולת ארגוני המגזר השלישי,Economic Aspects Regarding Activities of Third-Sector Organizations,2,ב',433,שעור,2,28,NULL
3201,מבוא לעבודה סוציאלית,INTRODUCTION TO SOCIAL WORK,9,קורס שנתי,432,שעור,4,56,6
3206,הכשרה מקצועית- 16 שעות בשבוע (שנה ראשונה),FIELDWORK TRAINING- 16 HOURS PER WEEK FIRST YEAR,9,קורס שנתי,432,ע.מע,0,0,4
3207,הכשרה מקצועית - 16 שעות בשבוע (שנה שניה),FIELDWORK TRAINING - 16 HOURS PER WEEK SECOND YE,9,קורס שנתי,432,ע.מע,0,0,4
3260,סדנא בהכשרה מקצועית בעבודה סוציאלית קהילתית - שנה ב',WORKSHOP IN F.W. COMMUNITY WORK - 2ND YEAR,9,קורס שנתי,431,הדר,4,56,4
