group.id,course.co_id,group.lesson
8268506,1043,שות, 
8268507,1044,הדר, 
8268508,1061,שעור, 
8268509,1065,שות, 
8268510,1066,שות, 
8268511,1070,שות, 
8268512,1075,שות, 
8268513,1083,שות, 
8268514,1084,הדר, 
8268515,1100,שות, 
8268516,1110,שות, 
8268517,1115,שות, 
8268518,1120,שות, 
8268519,1125,שות, 
8268520,1130,שות, 
8268521,1140,שות, 
8268522,1150,שות,א
8268523,1150,שות,ב
8268524,1160,שות, 
8268525,1161,שות, 
8268526,1165,שות, 
8268527,1166,שות, 
8268528,1168,שות, 
8268529,1210,שות, 
8268530,1211,שות, 
8268531,1220,שות, 
8268532,1225,שות, 
8268533,1230,שות, 
8268534,1240,שות, 
8268535,1270,שות, 
8268536,1310,שות,א
8268537,1310,שות,ב
8268538,1320,שות, 
8268539,1325,שות,א
8268540,1325,שות,ב
8268541,1330,שות, 
8268542,1334,הדר, 
8268543,1335,שות,א
8268544,1335,שות,ב
8268545,1335,שות,ג
8268546,1336,שות, 
8268547,1337,הדר, 
8268548,1340,שות,א
8268549,1340,שות,ב
8268550,1341,שות, 
8268551,1345,שות, 
8268552,1355,שות, 
8268553,1410,שות, 
8268554,1414,שות, 
8268555,1415,שות,א
8268556,1415,שות,ב
8268557,1420,שות, 
8268558,1430,שות,א
8268559,1430,שות,ב
8268560,1440,שות, 
8268561,1450,שות,א
8268562,1450,שות,ב
8268563,1450,שות,ג
8268564,1470,שות,א
8268565,1470,שות,ב
8268566,1470,שות,ג
8268567,1470,שות,ד
8268568,1470,שות,ה
8268569,1480,שות,א
8268570,1480,שות,ב
8268571,1490,שות,א
8268572,1490,שות,ב
8268573,1495,שות, 
8268683,3001,הדר, 
8974811,3021,שעור,NULL
8974862,3022,שעור,NULL
8974867,3023,שעור,NULL
8974872,3024,שעור,NULL
8991417,3025,שעור,NULL
8974998,3026,שעור,NULL
8975012,3027,סמ,NULL
8999562,3028,הדר,NULL
8999563,3029,הדר,NULL
9001699,3030,שעור,NULL
9015413,3031,שעור,NULL
9019687,3032,שעור,א
9019688,3032,שעור,ב
8268684,3098,סמ, 
8268685,3099,סמ, 
8268686,3102,שעור, 
8268687,3102,תרג,א
8268688,3102,תרג,ב
8268689,3102,תרג,ג
8268690,3102,תרג,ד
8268691,3103,שעור, 
8268692,3103,תרג,א
8268693,3103,תרג,ב
8268694,3103,תרג,ג
8268695,3103,תרג,ד
8268696,3105,שעור, 
8268697,3106,שעור, 
8268698,3107,סמ, 
8268699,3109,שעור, 
8268700,3109,תרג,א
8268701,3109,תרג,ב
8268702,3111,שעור, 
8268703,3111,תרג,א
8268704,3111,תרג,ב
8268705,3112,הדר, 
8268706,3113,שעור, 
8268707,3115,שעור, 
8268708,3116,שעור, 
8268709,3117,שעור, 
8268710,3118,שעור, 
8268711,3120,שעור,א
8268712,3120,שעור,ב
8268713,3121,שעור, 
8268714,3125,שעור, 
8268715,3126,הדר,א
8268716,3126,הדר,ב
8268717,3126,הדר,ג
8268718,3126,הדר,ד
8974486,3126,הדר,ה
8268719,3130,שעור, 
8268720,3131,שעור, 
8268721,3133,שעור,א
8268722,3133,שעור,ב
8268723,3133,שעור,ג
8268724,3133,שעור,ד
8268725,3133,שעור,ה
8268726,3133,שעור,ו
8268727,3133,שעור,ז
8268728,3133,שעור,ח
8268729,3134,הדר, 
8268730,3138,שעור, 
8268731,3139,שעור,א
8268732,3139,שעור,ב
8268733,3140,שעור, 
8268736,3143,שעור, 
8268737,3144,שעור, 
8268738,3150,שעור, 
8268739,3152,שעור, 
8268740,3153,שעור,א
8974861,3154,שעור,NULL
8268743,3164,סמ, 
